Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,530215975,530215975,13138,1169600,10170000,2042800,1169600,6957600,0.200865,0,0,0,1
2,532918882,532918882,13171,1179800,10170000,2044300,1179800,6945900,0.201013,0,0,0,1
3,534271918,534271918,13192,1172200,10170000,2052300,1172200,6945500,0.201799,0,0,0,1
4,533070244,533070244,13123,1176400,10170000,2036400,1176400,6957200,0.200236,0,0,0,1
5,533932458,533932458,13184,1163200,10170000,2055200,1163200,6951600,0.202085,0,0,0,1
6,530837011,530837011,13152,1167800,10170000,2046500,1167800,6955700,0.201229,0,0,0,1
7,537328169,537328169,13159,1191200,10170000,2036200,1191200,6942600,0.200216,0,0,0,1
8,530843926,530843926,13154,1159800,10170000,2050900,1159800,6959300,0.201662,0,0,0,1
9,533962836,533962836,13208,1184600,10170000,2049300,1184600,6936100,0.201504,0,0,0,1
10,533853993,533853993,13136,1166600,10170000,2043900,1166600,6959500,0.200973,0,0,0,1
