Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,529915607,529915607,13214,1172800,10170000,2056400,1172800,6940800,0.202203,0,0,0,1
2,533148913,533148913,13161,1169000,10170000,2047700,1169000,6953300,0.201347,0,0,0,1
3,535006948,535006948,13210,1178400,10170000,2052800,1178400,6938800,0.201849,0,0,0,1
4,530332098,530332098,13201,1158200,10170000,2061100,1158200,6950700,0.202665,0,0,0,1
5,530642006,530642006,13151,1149800,10170000,2055300,1149800,6964900,0.202094,0,0,0,1
6,530541108,530541108,13214,1167600,10170000,2059000,1167600,6943400,0.202458,0,0,0,1
7,530411146,530411146,13175,1149200,10170000,2060400,1149200,6960400,0.202596,0,0,0,1
8,531668854,531668854,13206,1163600,10170000,2059400,1163600,6947000,0.202498,0,0,0,1
9,533206043,533206043,13137,1166400,10170000,2044200,1166400,6959400,0.201003,0,0,0,1
10,532000335,532000335,13203,1173200,10170000,2054000,1173200,6942800,0.201967,0,0,0,1
