Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,39496544162,39496544162,45561,1884600,10170000,8169900,1884600,115500,0.803333,0,0,0,1
2,39463961522,39463961522,45561,1886400,10170000,8169000,1886400,114600,0.803245,0,0,0,1
3,39581413209,39581413209,45556,1884600,10170000,8168900,1884600,116500,0.803235,0,0,0,1
4,39638033199,39638033199,45559,1885600,10170000,8169000,1885600,115400,0.803245,0,0,0,1
5,39610318906,39610318906,45560,1889600,10170000,8167200,1889600,113200,0.803068,0,0,0,1
6,39718353532,39718353532,45561,1893400,10170000,8165500,1893400,111100,0.802901,0,0,0,1
7,39539848657,39539848657,45562,1884600,10170000,8170100,1884600,115300,0.803353,0,0,0,1
8,39573966993,39573966993,45560,1887600,10170000,8168200,1887600,114200,0.803166,0,0,0,1
9,39233279900,39233279900,45564,1886000,10170000,8169800,1886000,114200,0.803324,0,0,0,1
10,39659815749,39659815749,45559,1893600,10170000,8165000,1893600,111400,0.802852,0,0,0,1
