Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,25693440348,25452500348,41097,2409400,10170000,7014700,2409400,745900,0.689744,0,0,0,1
2,25757041405,25515301405,41113,2417400,10170000,7013900,2417400,738700,0.689666,0,0,0,1
3,25786370285,25543370285,41103,2430000,10170000,7005600,2430000,734400,0.68885,0,0,0,1
4,25737552564,25495372564,41109,2421800,10170000,7010900,2421800,737300,0.689371,0,0,0,1
5,25673252176,25432072176,41093,2411800,10170000,7012700,2411800,745500,0.689548,0,0,0,1
6,25692191958,25450551958,41101,2416400,10170000,7012000,2416400,741600,0.689479,0,0,0,1
7,25700901412,25458761412,41082,2421400,10170000,7005700,2421400,742900,0.688859,0,0,0,1
8,25821271413,25576631413,41080,2446400,10170000,6992800,2446400,730800,0.687591,0,0,0,1
9,25807751882,25565291882,41081,2424600,10170000,7003900,2424600,741500,0.688682,0,0,0,1
10,25705844866,25463684866,41119,2421600,10170000,7013000,2421600,735400,0.689577,0,0,0,1
