Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,3248465378,3248465378,23556,1685600,10170000,3868400,1685600,4616000,0.380374,0,0,0,1
2,3250471014,3250471014,23540,1702800,10170000,3856600,1702800,4610600,0.379213,0,0,0,1
3,3247203307,3247203307,23548,1686800,10170000,3866200,1686800,4617000,0.380157,0,0,0,1
4,3246163923,3246163923,23554,1674600,10170000,3873500,1674600,4621900,0.380875,0,0,0,1
5,3237436352,3237436352,23525,1682000,10170000,3864000,1682000,4624000,0.379941,0,0,0,1
6,3241940484,3241940484,23556,1674600,10170000,3873900,1674600,4621500,0.380914,0,0,0,1
7,3281757930,3281757930,23456,1698600,10170000,3841900,1698600,4629500,0.377768,0,0,0,1
8,3230921157,3230921157,23559,1679400,10170000,3872100,1679400,4618500,0.380737,0,0,0,1
9,3269516401,3269516401,23511,1704400,10170000,3850000,1704400,4615600,0.378564,0,0,0,1
10,3238314432,3238314432,23597,1688600,10170000,3875100,1688600,4606300,0.381032,0,0,0,1
