Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,3260854782,3260854782,23504,1693400,10170000,3854100,1693400,4622500,0.378968,0,0,0,1
2,3239208904,3239208904,23586,1664000,10170000,3885200,1664000,4620800,0.382026,0,0,0,1
3,3243486926,3243486926,23607,1668600,10170000,3887100,1668600,4614300,0.382212,0,0,0,1
4,3247854927,3247854927,23537,1658800,10170000,3878000,1658800,4633200,0.381318,0,0,0,1
5,3224184789,3224184789,23569,1683000,10170000,3872300,1683000,4614700,0.380757,0,0,0,1
6,3303079318,3303079318,23482,1727400,10170000,3832700,1727400,4609900,0.376863,0,0,0,1
7,3234967512,3234967512,23568,1689800,10170000,3868700,1689800,4611500,0.380403,0,0,0,1
8,3236217451,3236217451,23557,1673400,10170000,3874700,1673400,4621900,0.380993,0,0,0,1
9,3248429987,3248429987,23537,1679600,10170000,3867600,1679600,4622800,0.380295,0,0,0,1
10,3260277722,3260277722,23546,1692800,10170000,3862800,1692800,4614400,0.379823,0,0,0,1
