Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,2007074080,1413474080,19552,593600,10170000,3613600,593600,5962800,0.35532,0,0,0,1
2,2006868420,1409268420,19575,597600,10170000,3616200,597600,5956200,0.355575,0,0,0,1
3,2007570709,1408770709,19493,598800,10170000,3599200,598800,5972000,0.353904,0,0,0,1
4,2006974582,1410374582,19535,596600,10170000,3608700,596600,5964700,0.354838,0,0,0,1
5,2007840700,1403840700,19486,604000,10170000,3595200,604000,5970800,0.35351,0,0,0,1
6,2007634535,1406234535,19496,601400,10170000,3598500,601400,5970100,0.353835,0,0,0,1
7,2000105903,1402705903,19470,597400,10170000,3595300,597400,5977300,0.35352,0,0,0,1
8,2010754697,1408954697,19459,601800,10170000,3590900,601800,5977300,0.353088,0,0,0,1
9,2007544133,1406544133,19673,601000,10170000,3634100,601000,5934900,0.357335,0,0,0,1
10,2006665833,1393865833,19506,612800,10170000,3594800,612800,5962400,0.353471,0,0,0,1
