Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,6563098709,6563098709,27979,1927800,10170000,4631900,1927800,3610300,0.455447,0,0,0,1
2,6550899636,6550899636,27970,1917400,10170000,4635300,1917400,3617300,0.455782,0,0,0,1
3,6544515428,6544515428,27958,1906000,10170000,4638600,1906000,3625400,0.456106,0,0,0,1
4,6566552505,6566552505,27911,1939800,10170000,4612300,1939800,3617900,0.45352,0,0,0,1
5,6614099043,6614099043,27931,1961200,10170000,4605600,1961200,3603200,0.452861,0,0,0,1
6,6519063277,6519063277,28003,1909000,10170000,4646100,1909000,3614900,0.456844,0,0,0,1
7,6624258407,6624258407,27913,1964200,10170000,4600500,1964200,3605300,0.45236,0,0,0,1
8,6615870530,6615870530,27895,1947000,10170000,4605500,1947000,3617500,0.452852,0,0,0,1
9,6509692700,6509692700,28000,1905600,10170000,4647200,1905600,3617200,0.456952,0,0,0,1
10,6569275383,6569275383,27968,1930800,10170000,4628200,1930800,3611000,0.455084,0,0,0,1
