Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,19110744594,18810824594,36385,2999200,10170000,5777400,2999200,1393400,0.568083,0,0,0,1
2,19195802307,18894742307,36377,3010600,10170000,5770100,3010600,1389300,0.567365,0,0,0,1
3,19196877737,18899237737,36387,2976400,10170000,5789200,2976400,1404400,0.569243,0,0,0,1
4,19150135400,18848855400,36346,3012800,10170000,5762800,3012800,1394400,0.566647,0,0,0,1
5,19191713343,18892493343,36395,2992200,10170000,5782900,2992200,1394900,0.568623,0,0,0,1
6,19190772699,18887732699,36355,3030400,10170000,5755800,3030400,1383800,0.565959,0,0,0,1
7,19102906322,18804766322,36400,2981400,10170000,5789300,2981400,1399300,0.569253,0,0,0,1
8,19085488400,18789968400,36394,2955200,10170000,5801200,2955200,1413600,0.570423,0,0,0,1
9,19172221141,18871581141,36350,3006400,10170000,5766800,3006400,1396800,0.56704,0,0,0,1
10,19221904476,18921284476,36373,3006200,10170000,5771500,3006200,1392300,0.567502,0,0,0,1
