Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,11287141366,11287141366,32182,2633200,10170000,5119800,2633200,2417000,0.503422,0,0,0,1
2,11271702581,11271702581,32179,2638200,10170000,5116700,2638200,2415100,0.503117,0,0,0,1
3,11286129312,11286129312,32133,2634400,10170000,5109400,2634400,2426200,0.502399,0,0,0,1
4,11274918525,11274918525,32122,2611200,10170000,5118800,2611200,2440000,0.503324,0,0,0,1
5,11267347346,11267347346,32180,2623200,10170000,5124400,2623200,2422400,0.503874,0,0,0,1
6,11266919756,11266919756,32124,2631600,10170000,5109000,2631600,2429400,0.50236,0,0,0,1
7,11298007581,11298007581,32203,2630600,10170000,5125300,2630600,2414100,0.503963,0,0,0,1
8,11267026421,11267026421,32187,2637400,10170000,5118700,2637400,2413900,0.503314,0,0,0,1
9,11325458304,11325458304,32155,2650800,10170000,5105600,2650800,2413600,0.502026,0,0,0,1
10,11295565415.686087,11295564813,32205,2633400,10170000,5124300,2633400,2412300,0.503864,602.686086,1.7e-5,1,1
