Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,39516472355,39514587555,45558,1884800,10170000,8169200,1884800,116000,0.803265,0,0,0,1
2,39735606729,39733724729,45560,1882000,10170000,8171000,1882000,117000,0.803441,0,0,0,1
3,39665664845,39663776245,45561,1888600,10170000,8167900,1888600,113500,0.803137,0,0,0,1
4,39594638452,39592747852,45563,1890600,10170000,8167300,1890600,112100,0.803078,0,0,0,1
5,39522166970,39520279770,45561,1887200,10170000,8168600,1887200,114200,0.803206,0,0,0,1
6,39337309001,39335421801,45562,1887200,10170000,8168800,1887200,114000,0.803225,0,0,0,1
7,39611164994,39609278394,45558,1886600,10170000,8168300,1886600,115100,0.803176,0,0,0,1
8,39543594751,39541700951,45561,1893800,10170000,8165300,1893800,110900,0.802881,0,0,0,1
9,39607640212,39605743812,45557,1896400,10170000,8163200,1896400,110400,0.802675,0,0,0,1
10,39565158380,39563268180,45563,1890200,10170000,8167500,1890200,112300,0.803097,0,0,0,1
