Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,125976111,119722111,7517,625400,10170000,1190700,625400,8353900,0.11708,0,0,0,1
2,126423376,120267376,7552,615600,10170000,1202600,615600,8351800,0.11825,0,0,0,1
3,126233382,119933382,7521,630000,10170000,1189200,630000,8350800,0.116932,0,0,0,1
4,126270150,120034150,7519,623600,10170000,1192000,623600,8354400,0.117207,0,0,0,1
5,125874092,119664092,7504,621000,10170000,1190300,621000,8358700,0.11704,0,0,0,1
6,126480720,120154720,7509,632600,10170000,1185500,632600,8351900,0.116568,0,0,0,1
7,126644624,120296624,7512,634800,10170000,1185000,634800,8350200,0.116519,0,0,0,1
8,126204133,119940133,7571,626400,10170000,1201000,626400,8342600,0.118092,0,0,0,1
9,126689799,120461799,7559,622800,10170000,1200400,622800,8346800,0.118033,0,0,0,1
10,125068873,118884873,7525,618400,10170000,1195800,618400,8355800,0.117581,0,0,0,1
