Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,26207706604,26207706604,40883,2679000,10170000,6837100,2679000,653900,0.672281,0,0,0,1
2,26254890514,26254890514,40895,2688600,10170000,6834700,2688600,646700,0.672045,0,0,0,1
3,26214975268,26214975268,40879,2674400,10170000,6838600,2674400,657000,0.672429,0,0,0,1
4,26276942671,26276942671,40886,2675800,10170000,6839300,2675800,654900,0.672498,0,0,0,1
5,26226166176,26226166176,40896,2687800,10170000,6835300,2687800,646900,0.672104,0,0,0,1
6,26315522475,26315522475,40857,2705000,10170000,6818900,2705000,646100,0.670492,0,0,0,1
7,26301405371,26301405371,40906,2705400,10170000,6828500,2705400,636100,0.671436,0,0,0,1
8,26247340871,26247340871,40893,2677400,10170000,6839900,2677400,652700,0.672557,0,0,0,1
9,26245757213,26245757213,40880,2686200,10170000,6832900,2686200,650900,0.671868,0,0,0,1
10,26234403575,26234403575,40876,2690000,10170000,6830200,2690000,649800,0.671603,0,0,0,1
