Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,17269507255,17269507255,36513,2649800,10170000,5977700,2649800,1542500,0.587778,0,0,0,1
2,17247305883,17247305883,36516,2646200,10170000,5980100,2646200,1543700,0.588014,0,0,0,1
3,17270881320.011528,17270880579,36509,2652200,10170000,5975700,2652200,1542100,0.587581,741.011528,1.5e-5,1,1
4,17354821762,17354821762,36509,2681600,10170000,5961000,2681600,1527400,0.586136,0,0,0,1
5,17287628317,17287628317,36515,2660000,10170000,5973000,2660000,1537000,0.587316,0,0,0,1
6,17254209339,17254209339,36513,2662800,10170000,5971200,2662800,1536000,0.587139,0,0,0,1
7,17275108438,17275108438,36530,2658800,10170000,5976600,2658800,1534600,0.58767,0,0,0,1
8,17287105790,17287105790,36504,2674200,10170000,5963700,2674200,1532100,0.586401,0,0,0,1
9,17306606448,17306606448,36516,2669400,10170000,5968500,2669400,1532100,0.586873,0,0,0,1
10,17320724083,17320724083,36534,2658800,10170000,5977400,2658800,1533800,0.587748,0,0,0,1
