Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,39577634954,39577634954,45562,1882800,10170000,8171000,1882800,116200,0.803441,0,0,0,1
2,39466674330,39466674330,45560,1885400,10170000,8169300,1885400,115300,0.803274,0,0,0,1
3,39496859070,39496859070,45561,1893600,10170000,8165400,1893600,111000,0.802891,0,0,0,1
4,39509781602,39509781602,45562,1884000,10170000,8170400,1884000,115600,0.803382,0,0,0,1
5,39570746291,39570746291,45557,1898000,10170000,8162400,1898000,109600,0.802596,0,0,0,1
6,39624922549,39624922549,45560,1883200,10170000,8170400,1883200,116400,0.803382,0,0,0,1
7,39653073910,39653073910,45560,1898400,10170000,8162800,1898400,108800,0.802635,0,0,0,1
8,39573300894,39573300894,45560,1892200,10170000,8165900,1892200,111900,0.80294,0,0,0,1
9,39574469471,39574469471,45560,1875800,10170000,8174100,1875800,120100,0.803746,0,0,0,1
10,39605979020,39605979020,45560,1895200,10170000,8164400,1895200,110400,0.802793,0,0,0,1
