Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,28708714054,28679156054,40709,2955800,10170000,6663900,2955800,550300,0.655251,0,0,0,1
2,28929582726,28899744726,40681,2983800,10170000,6644300,2983800,541900,0.653324,0,0,0,1
3,28995020375,28965120375,40691,2990000,10170000,6643200,2990000,536800,0.653215,0,0,0,1
4,28921403957,28891643957,40683,2976000,10170000,6648600,2976000,545400,0.653746,0,0,0,1
5,28905370783,28875518783,40665,2985200,10170000,6640400,2985200,544400,0.65294,0,0,0,1
6,28883363385,28853569385,40708,2979400,10170000,6651900,2979400,538700,0.654071,0,0,0,1
7,28807051986,28777323986,40684,2972800,10170000,6650400,2972800,546800,0.653923,0,0,0,1
8,28910808569,28881012569,40670,2979600,10170000,6644200,2979600,546200,0.653314,0,0,0,1
9,28914472488,28884604488,40702,2986800,10170000,6647000,2986800,536200,0.653589,0,0,0,1
10,28993596199,28963692199,40688,2990400,10170000,6642400,2990400,537200,0.653137,0,0,0,1
