Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,3235367610,3233699610,23501,1668000,10170000,3866200,1668000,4635800,0.380157,0,0,0,1
2,3285599445,3283906445,23535,1693000,10170000,3860500,1693000,4616500,0.379597,0,0,0,1
3,3261992692,3260307492,23525,1685200,10170000,3862400,1685200,4622400,0.379784,0,0,0,1
4,3267514624,3265834824,23502,1679800,10170000,3860500,1679800,4629700,0.379597,0,0,0,1
5,3246901270,3245232070,23605,1669200,10170000,3886400,1669200,4614400,0.382144,0,0,0,1
6,3258525933,3256841533,23537,1684400,10170000,3865200,1684400,4620400,0.380059,0,0,0,1
7,3237200309,3235525709,23560,1674600,10170000,3874700,1674600,4620700,0.380993,0,0,0,1
8,3234490930,3232827530,23561,1663400,10170000,3880500,1663400,4626100,0.381563,0,0,0,1
9,3304237233,3302538833,23552,1698400,10170000,3861200,1698400,4610400,0.379666,0,0,0,1
10,3253443423,3251782023,23528,1661400,10170000,3874900,1661400,4633700,0.381013,0,0,0,1
