Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,12864907525,12830915525,31658,3399200,10170000,4632000,3399200,2138800,0.455457,0,0,0,1
2,12844483840,12810765840,31624,3371800,10170000,4638900,3371800,2159300,0.456136,0,0,0,1
3,12794983666,12761435666,31604,3354800,10170000,4643400,3354800,2171800,0.456578,0,0,0,1
4,12886111723,12852071723,31598,3404000,10170000,4617600,3404000,2148400,0.454041,0,0,0,1
5,12898231634,12864101634,31628,3413000,10170000,4619100,3413000,2137900,0.454189,0,0,0,1
6,12837699589,12803981589,31611,3371800,10170000,4636300,3371800,2161900,0.45588,0,0,0,1
7,12884496311,12850678311,31633,3381800,10170000,4635700,3381800,2152500,0.455821,0,0,0,1
8,12890894341,12857160341,31651,3373400,10170000,4643500,3373400,2153100,0.456588,0,0,0,1
9,12866022192,12832280192,31625,3374200,10170000,4637900,3374200,2157900,0.456037,0,0,0,1
10,12831918710,12798286710,31672,3363200,10170000,4652800,3363200,2154000,0.457502,0,0,0,1
