Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,1394208969,1394208969,18611,1432600,10170000,3005900,1432600,5731500,0.295565,0,0,0,1
2,1392967017,1392967017,18635,1431800,10170000,3011100,1431800,5727100,0.296077,0,0,0,1
3,1387622693,1387622693,18609,1450400,10170000,2996600,1450400,5723000,0.294651,0,0,0,1
4,1392154959,1392154959,18643,1424800,10170000,3016200,1424800,5729000,0.296578,0,0,0,1
5,1400486455,1400486455,18603,1447400,10170000,2996900,1447400,5725700,0.29468,0,0,0,1
6,1390926247,1390926247,18607,1438600,10170000,3002100,1438600,5729300,0.295192,0,0,0,1
7,1388133697,1388133697,18660,1432400,10170000,3015800,1432400,5721800,0.296539,0,0,0,1
8,1396652216.671268,1396651367,18593,1444200,10170000,2996500,1444200,5729300,0.294641,849.671268,2.3e-4,1,1
9,1400081193.066534,1400080742,18638,1442400,10170000,3006400,1442400,5721200,0.295615,451.066534,1.22e-4,1,1
10,1391555170,1391555170,18631,1433400,10170000,3009500,1433400,5727100,0.295919,0,0,0,1
