Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,1388433121,1388433121,18664,1435000,10170000,3015300,1435000,5719700,0.29649,0,0,0,1
2,1393152543,1393152543,18627,1422600,10170000,3014100,1422600,5733300,0.296372,0,0,0,1
3,1394404353,1394404353,18614,1437800,10170000,3003900,1437800,5728300,0.295369,0,0,0,1
4,1388655748,1388655748,18624,1417000,10170000,3016300,1417000,5736700,0.296588,0,0,0,1
5,1388555846,1388555846,18633,1428600,10170000,3012300,1428600,5729100,0.296195,0,0,0,1
6,1386883418,1386883418,18655,1422600,10170000,3019700,1422600,5727700,0.296922,0,0,0,1
7,1394280373,1394280373,18606,1455800,10170000,2993300,1455800,5720900,0.294326,0,0,0,1
8,1400204871,1400204871,18579,1441200,10170000,2995200,1441200,5733600,0.294513,0,0,0,1
9,1391754470,1391754470,18654,1432800,10170000,3014400,1432800,5722800,0.296401,0,0,0,1
10,1387516518,1387516518,18652,1447000,10170000,3006900,1447000,5716100,0.295664,0,0,0,1
