Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,531133659,531133659,13219,1168400,10170000,2059600,1168400,6942000,0.202517,0,0,0,1
2,532438687,532438687,13176,1164800,10170000,2052800,1164800,6952400,0.201849,0,0,0,1
3,534623036,534623036,13164,1180000,10170000,2042800,1180000,6947200,0.200865,0,0,0,1
4,532586506,532586506,13184,1166800,10170000,2053400,1166800,6949800,0.201908,0,0,0,1
5,530966394,530966394,13195,1167000,10170000,2055500,1167000,6947500,0.202114,0,0,0,1
6,532582987,532582987,13212,1162200,10170000,2061300,1162200,6946500,0.202684,0,0,0,1
7,535080263,535080263,13150,1177600,10170000,2041200,1177600,6951200,0.200708,0,0,0,1
8,536713868,536713868,13156,1196800,10170000,2032800,1196800,6940400,0.199882,0,0,0,1
9,531931818,531931818,13156,1172800,10170000,2044800,1172800,6952400,0.201062,0,0,0,1
10,533847425,533847425,13223,1181400,10170000,2053900,1181400,6934700,0.201957,0,0,0,1
