Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,6572637262,6570707862,27961,1929400,10170000,4627500,1929400,3613100,0.455015,0,0,0,1
2,6566158573,6564228573,27953,1930000,10170000,4625600,1930000,3614400,0.454828,0,0,0,1
3,6567303985,6565364985,27954,1939000,10170000,4621300,1939000,3609700,0.454405,0,0,0,1
4,6630387102,6628434902,27948,1952200,10170000,4613500,1952200,3604300,0.453638,0,0,0,1
5,6617276264,6615355264,27980,1921000,10170000,4635500,1921000,3613500,0.455801,0,0,0,1
6,6612646547,6610712547,27949,1934000,10170000,4622800,1934000,3613200,0.454553,0,0,0,1
7,6529621441,6527711841,27955,1909600,10170000,4636200,1909600,3624200,0.45587,0,0,0,1
8,6535417821,6533507621,28006,1910200,10170000,4646100,1910200,3613700,0.456844,0,0,0,1
9,6559225419,6557310019,27950,1915400,10170000,4632300,1915400,3622300,0.455487,0,0,0,1
10,6605417107,6603481107,27968,1936000,10170000,4625600,1936000,3608400,0.454828,0,0,0,1
