Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,532072317,532072317,13131,1180000,10170000,2036200,1180000,6953800,0.200216,0,0,0,1
2,532273751,532273751,13215,1175800,10170000,2055100,1175800,6939100,0.202075,0,0,0,1
3,530069719,530069719,13153,1149800,10170000,2055700,1149800,6964500,0.202134,0,0,0,1
4,534626383,534626383,13245,1172000,10170000,2063000,1172000,6935000,0.202852,0,0,0,1
5,536655384,536655384,13148,1172600,10170000,2043300,1172600,6954100,0.200914,0,0,0,1
6,532923397,532923397,13208,1169600,10170000,2056800,1169600,6943600,0.202242,0,0,0,1
7,535858644,535858644,13164,1204000,10170000,2030800,1204000,6935200,0.199685,0,0,0,1
8,530041089,530041089,13196,1166200,10170000,2056100,1166200,6947700,0.202173,0,0,0,1
9,531874258,531874258,13233,1183600,10170000,2054800,1183600,6931600,0.202045,0,0,0,1
10,532629880,532629880,13237,1170200,10170000,2062300,1170200,6937500,0.202783,0,0,0,1
