Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,6577173016,6577173016,27977,1924200,10170000,4633300,1924200,3612500,0.455585,0,0,0,1
2,6652705741,6652705741,27930,1962200,10170000,4604900,1962200,3602900,0.452793,0,0,0,1
3,6643218320,6643218320,27917,1951200,10170000,4607800,1951200,3611000,0.453078,0,0,0,1
4,6615267239,6615267239,27916,1938400,10170000,4614000,1938400,3617600,0.453687,0,0,0,1
5,6580757764,6580757764,28004,1919200,10170000,4641200,1919200,3609600,0.456362,0,0,0,1
6,6551183189,6551183189,27948,1915000,10170000,4632100,1915000,3622900,0.455467,0,0,0,1
7,6590747247,6590747247,27938,1946000,10170000,4614600,1946000,3609400,0.453746,0,0,0,1
8,6611088595,6611088595,27971,1931000,10170000,4628700,1931000,3610300,0.455133,0,0,0,1
9,6563427130,6563427130,27973,1925400,10170000,4631900,1925400,3612700,0.455447,0,0,0,1
10,6596246143,6596246143,27981,1918600,10170000,4636900,1918600,3614500,0.455939,0,0,0,1
