Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,11056744812,11054379812,32328,2365000,10170000,5283100,2365000,2521900,0.519479,0,0,0,1
2,11025110314,11022749914,32383,2360400,10170000,5296400,2360400,2513200,0.520787,0,0,0,1
3,11038622285,11036259885,32291,2362400,10170000,5277000,2362400,2530600,0.518879,0,0,0,1
4,11044502909,11042123709,32344,2379200,10170000,5279200,2379200,2511600,0.519095,0,0,0,1
5,11059710730,11057330130,32299,2380600,10170000,5269500,2380600,2519900,0.518142,0,0,0,1
6,11007480672,11005127472,32285,2353200,10170000,5280400,2353200,2536400,0.519213,0,0,0,1
7,11092283464,11089901464,32295,2382000,10170000,5268000,2382000,2520000,0.517994,0,0,0,1
8,11014607807,11012246407,32350,2361400,10170000,5289300,2361400,2519300,0.520088,0,0,0,1
9,11053571832,11051186032,32294,2385800,10170000,5265900,2385800,2518300,0.517788,0,0,0,1
10,11069092115,11066706315,32307,2385800,10170000,5268500,2385800,2515700,0.518043,0,0,0,1
