Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,317284056,154484056,8453,162800,10170000,1609200,162800,8398000,0.15823,0,0,0,1
2,317639966,149239966,8553,168400,10170000,1626400,168400,8375200,0.159921,0,0,0,1
3,316651114,152251114,8586,164400,10170000,1635000,164400,8370600,0.160767,0,0,0,1
4,315233912,153633912,8603,161600,10170000,1639800,161600,8368600,0.161239,0,0,0,1
5,322920786,151920786,8695,171000,10170000,1653500,171000,8345500,0.162586,0,0,0,1
6,316267889,150667889,8577,165600,10170000,1632600,165600,8371800,0.160531,0,0,0,1
7,316216179,156216179,8377,160000,10170000,1595400,160000,8414600,0.156873,0,0,0,1
8,315654632,156454632,8661,159200,10170000,1652600,159200,8358200,0.162498,0,0,0,1
9,318270884,153670884,8632,164600,10170000,1644100,164600,8361300,0.161662,0,0,0,1
10,317718083,153518083,8567,164200,10170000,1631300,164200,8374500,0.160403,0,0,0,1
