Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,39586278076,39586278076,45563,1892200,10170000,8166500,1892200,111300,0.802999,0,0,0,1
2,39402473061,39402473061,45558,1890200,10170000,8166500,1890200,113300,0.802999,0,0,0,1
3,39470189956,39470189956,45561,1888800,10170000,8167800,1888800,113400,0.803127,0,0,0,1
4,39576377938,39576377938,45561,1890200,10170000,8167100,1890200,112700,0.803058,0,0,0,1
5,39516328255,39516328255,45562,1881200,10170000,8171800,1881200,117000,0.80352,0,0,0,1
6,39655232594,39655232594,45561,1892200,10170000,8166100,1892200,111700,0.80296,0,0,0,1
7,39460171626,39460171626,45558,1883000,10170000,8170100,1883000,116900,0.803353,0,0,0,1
8,39626381292,39626381292,45560,1900000,10170000,8162000,1900000,108000,0.802557,0,0,0,1
9,39631865615,39631865615,45562,1901800,10170000,8161500,1901800,106700,0.802507,0,0,0,1
10,39392377984,39392377984,45562,1891400,10170000,8166700,1891400,111900,0.803019,0,0,0,1
