Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,17212030343,17212030343,36517,2635000,10170000,5985900,2635000,1549100,0.588584,0,0,0,1
2,17316047849,17316047849,36490,2675200,10170000,5960400,2675200,1534400,0.586077,0,0,0,1
3,17281747248,17281747248,36468,2665600,10170000,5960800,2665600,1543600,0.586116,0,0,0,1
4,17331375215,17331375215,36498,2660400,10170000,5969400,2660400,1540200,0.586962,0,0,0,1
5,17273051261,17273051261,36497,2672000,10170000,5963400,2672000,1534600,0.586372,0,0,0,1
6,17253857064,17253857064,36506,2645400,10170000,5978500,2645400,1546100,0.587856,0,0,0,1
7,17242089637,17242089637,36501,2651800,10170000,5974300,2651800,1543900,0.587443,0,0,0,1
8,17259184914,17259184914,36519,2642400,10170000,5982600,2642400,1545000,0.58826,0,0,0,1
9,17273357882,17273357882,36513,2645200,10170000,5980000,2645200,1544800,0.588004,0,0,0,1
10,17282529156,17282529156,36519,2657600,10170000,5975000,2657600,1537400,0.587512,0,0,0,1
