Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,26523549493,26520806293,40848,2743200,10170000,6798000,2743200,628800,0.668437,0,0,0,1
2,26569494929,26566746529,40861,2748400,10170000,6798000,2748400,623600,0.668437,0,0,0,1
3,26667585853,26664833053,40855,2752800,10170000,6794600,2752800,622600,0.668102,0,0,0,1
4,26470989128,26468291928,40894,2697200,10170000,6830200,2697200,642600,0.671603,0,0,0,1
5,26509462016,26506726816,40890,2735200,10170000,6810400,2735200,624400,0.669656,0,0,0,1
6,26524113487,26521380087,40881,2733400,10170000,6809500,2733400,627100,0.669567,0,0,0,1
7,26518305608,26515577408,40877,2728200,10170000,6811300,2728200,630500,0.669744,0,0,0,1
8,26523986046,26521268846,40849,2717200,10170000,6811200,2717200,641600,0.669735,0,0,0,1
9,26557185975,26554441175,40844,2744800,10170000,6796400,2744800,628800,0.668279,0,0,0,1
10,26497506119,26494798519,40868,2707600,10170000,6819800,2707600,642600,0.67058,0,0,0,1
