Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,16965731429,16963238229,36577,2493200,10170000,6068800,2493200,1608000,0.596735,0,0,0,1
2,17001165356,16998655356,36557,2510000,10170000,6056400,2510000,1603600,0.595516,0,0,0,1
3,16919950788,16917479588,36581,2471200,10170000,6080600,2471200,1618200,0.597896,0,0,0,1
4,17029697862,17027195262,36581,2502600,10170000,6064900,2502600,1602500,0.596352,0,0,0,1
5,16982065772,16979580772,36596,2485000,10170000,6076700,2485000,1608300,0.597512,0,0,0,1
6,17003330884,17000830484,36562,2500400,10170000,6062200,2500400,1607400,0.596087,0,0,0,1
7,17020363458,17017861258,36566,2502200,10170000,6062100,2502200,1605700,0.596077,0,0,0,1
8,17008123721,17005623921,36549,2499800,10170000,6059900,2499800,1610300,0.59586,0,0,0,1
9,17027048513,17024525513,36590,2523000,10170000,6056500,2523000,1590500,0.595526,0,0,0,1
10,17028382548,17025884948,36573,2497600,10170000,6065800,2497600,1606600,0.596441,0,0,0,1
