Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,120952862.040095,120952808,7519,763600,10170000,1122000,763600,8284400,0.110324,54.040095,5.7e-5,1,1
2,120983407,120983407,7481,759800,10170000,1116300,759800,8293900,0.109764,0,0,0,1
3,121926209,121926209,7498,771000,10170000,1114100,771000,8284900,0.109548,0,0,0,1
4,121594569,121594569,7448,766400,10170000,1106400,766400,8297200,0.108791,0,0,0,1
5,121150347.903935,121150248,7481,756200,10170000,1118100,756200,8295700,0.109941,99.903935,1.05e-4,1,1
6,121068495,121068495,7495,740400,10170000,1128800,740400,8300800,0.110993,0,0,0,1
7,120683686,120683686,7476,763600,10170000,1113400,763600,8293000,0.109479,0,0,0,1
8,121332409,121332409,7469,757400,10170000,1115100,757400,8297500,0.109646,0,0,0,1
9,120670372,120670372,7484,748000,10170000,1122800,748000,8299200,0.110403,0,0,0,1
10,120506299,120506299,7494,749200,10170000,1124200,749200,8296600,0.110541,0,0,0,1
