run_id,solver,target,n_features,n_pu,species,n_solutions,cost,time
23,gurobi,0.5,41,9282,"amekes,baleag,brdowl,brebla,batpig1,cangoo,chbchi,coohaw,dowwoo,eucdov,eursta,evegro,norfli,gockin,haiwoo,houfin,houwre,macwar,moudov,olsfly,pacwre1,pinsis,pasfly,rebnut,redcro,rethaw,rufhum,rewbla,sonspa,stejay,swathr,towwar,treswa,daejun,yerwar,vigswa,whcspa,westan,wlswar,wooduc,yelwar",1,208656641,0.9699999999999136
24,gurobi,0.6,41,9282,"brdowl,bewwre,brebla,brncre,batpig1,bushti,chbchi,cedwax,chispa,coohaw,comrav,amecro,eursta,evegro,foxspa,haiwoo,houfin,houspa,houwre,hutvir,moudov,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,purmar,rebsap,rewbla,savspa,sora,sonspa,stejay,swathr,treswa,yerwar,warvir,westan,wlswar,wooduc",1,602617679,1.009999999999991
25,gurobi,0.7000000000000001,41,9282,"barswa,bkhgro,brebla,batpig1,bushti,cangoo,cedwax,coohaw,comrav,amecro,dowwoo,evegro,norfli,gockin,haiwoo,houspa,macwar,norhar1,olsfly,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,redcro,rocpig,savspa,sora,sonspa,spotow,swathr,towwar,treswa,daejun,varthr,whcspa,westan,wilsni1,wooduc",1,1156551490,0.9399999999999409
26,gurobi,0.8,41,9282,"amekes,baleag,barswa,belkin1,bewwre,bnhcow,bkhgro,bushti,cangoo,chbchi,comrav,dowwoo,eucdov,eursta,foxspa,gockin,houfin,houspa,houwre,hutvir,macwar,moudov,orcwar,olsfly,osprey,pacwre1,pilwoo,purmar,rebnut,rocpig,rufhum,sora,swathr,treswa,daejun,yerwar,varthr,warvir,whcspa,wlswar,wooduc",1,1899306755,0.9399999999999409
27,gurobi,0.9,41,9282,"amegfi,amekes,annhum,baleag,barswa,belkin1,bnhcow,bushti,cangoo,cedwax,comrav,eursta,evegro,norfli,foxspa,houspa,moudov,orcwar,olsfly,osprey,purfin,rebnut,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,wilsni1,wlswar,wooduc",1,2779224912,0.8100000000000591
28,gurobi,0.1,56,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,batpig1,bushti,cangoo,chbchi,cedwax,coohaw,amecro,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houwre,hutvir,macwar,moudov,orcwar,olsfly,osprey,pacwre1,pinsis,pasfly,purfin,purmar,rebnut,rocpig,rufhum,sora,sonspa,spotow,swathr,towwar,treswa,varthr,vigswa,warvir,whcspa,wilsni1,wlswar,wooduc,yelwar",1,6987350,1.1399999999999864
29,gurobi,0.2,56,9282,"amekes,amerob,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,cangoo,chbchi,cedwax,coohaw,comrav,amecro,dowwoo,eucdov,eursta,norfli,foxspa,gockin,haiwoo,houspa,houwre,hutvir,moudov,norhar1,orcwar,olsfly,pacwre1,pinsis,pilwoo,purfin,purmar,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,sora,sonspa,spotow,swathr,towwar,treswa,daejun,varthr,vigswa,whcspa,westan,wilsni1,wlswar,yelwar",1,21378242,1.2000000000000455
30,gurobi,0.30000000000000004,56,9282,"amegfi,annhum,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,cangoo,chbchi,cedwax,chispa,comrav,amecro,dowwoo,eucdov,evegro,foxspa,gockin,haiwoo,houfin,houspa,hutvir,macwar,moudov,norhar1,olsfly,osprey,pacwre1,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rethaw,rufhum,rewbla,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,yelwar",1,66003676,1.259999999999991
31,gurobi,0.4,56,9282,"amegfi,amekes,annhum,baleag,barswa,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,cangoo,chbchi,coohaw,comrav,amecro,dowwoo,eucdov,evegro,norfli,foxspa,haiwoo,houfin,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,stejay,swathr,towwar,treswa,yerwar,varthr,vigswa,warvir,whcspa,wilsni1,wlswar",1,145102103,1.2900000000000773
32,gurobi,0.5,56,9282,"amekes,amerob,annhum,barswa,brdowl,belkin1,bnhcow,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eursta,evegro,norfli,foxspa,haiwoo,houfin,houspa,hutvir,macwar,norhar1,orcwar,olsfly,pacwre1,pinsis,pilwoo,pasfly,purfin,rebnut,rebsap,rocpig,rethaw,rufhum,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,warvir,westan,wilsni1,wlswar",1,310982638,1.2699999999999818
