solver,target,n_features,n_pu,species,n_solutions,cost,time
gurobi,0.1,10,9282,"amegfi,batpig1,comrav,houwre,hutvir,olsfly,pilwoo,rethaw,swathr,westan",1,3452504,0.3540000000000134
gurobi,0.2,10,9282,"amekes,barswa,coohaw,amecro,houfin,moudov,osprey,spotow,towwar,whcspa",1,18250016,0.39699999999999136
gurobi,0.30000000000000004,10,9282,"amegfi,barswa,belkin1,bewwre,bnhcow,brebla,macwar,rebsap,towwar,westan",1,23918078,0.3020000000000209
gurobi,0.4,10,9282,"baleag,barswa,batpig1,comrav,norfli,houfin,moudov,rufhum,sora,whcspa",1,113437770,0.3250000000000455
gurobi,0.5,10,9282,"bnhcow,batpig1,chispa,amecro,haiwoo,pacwre1,redcro,stejay,treswa,warvir",1,166181393,0.32099999999996953
gurobi,0.6,10,9282,"baleag,batpig1,orcwar,pilwoo,pasfly,purfin,savspa,sonspa,stejay,wooduc",1,147764481,0.4259999999999877
gurobi,0.7000000000000001,10,9282,"bewwre,brncre,houspa,pacwre1,pinsis,purfin,purmar,rebnut,rethaw,warvir",1,1124458680,0.25099999999997635
gurobi,0.8,10,9282,"baleag,chispa,haiwoo,houfin,hutvir,norhar1,purfin,yerwar,vigswa,whcspa",1,1624446651,0.2559999999999718
gurobi,0.9,10,9282,"amegfi,amekes,barswa,bewwre,eursta,macwar,redcro,daejun,varthr,wlswar",1,2196465790,0.29300000000000637
gurobi,0.1,26,9282,"amerob,baleag,barswa,brdowl,batpig1,cangoo,cedwax,comrav,dowwoo,eucdov,eursta,houspa,houwre,hutvir,norhar1,purfin,purmar,rebsap,rufhum,swathr,treswa,daejun,varthr,whcspa,westan,yelwar",1,5625232,0.6730000000000018
gurobi,0.2,26,9282,"amegfi,annhum,bnhcow,batpig1,cangoo,chispa,comrav,amecro,eucdov,eursta,gockin,haiwoo,houwre,macwar,pinsis,pasfly,purfin,purmar,rewbla,savspa,treswa,daejun,varthr,vigswa,warvir,westan",1,26157274,0.9239999999999782
gurobi,0.30000000000000004,26,9282,"baleag,barswa,belkin1,bkhgro,bushti,cangoo,chispa,amecro,eursta,evegro,foxspa,gockin,houspa,hutvir,purfin,purmar,rebsap,rewbla,sonspa,treswa,daejun,varthr,warvir,whcspa,wlswar,yelwar",1,58434853,0.7989999999999782
gurobi,0.4,26,9282,"amekes,amerob,barswa,brdowl,brebla,batpig1,chbchi,cedwax,chispa,norfli,gockin,houwre,hutvir,orcwar,purmar,rebsap,rufhum,sonspa,stejay,swathr,treswa,yerwar,whcspa,wilsni1,wooduc,yelwar",1,53156854,0.7900000000000205
gurobi,0.5,26,9282,"annhum,brdowl,bnhcow,bkhgro,chbchi,eucdov,evegro,norfli,houfin,houspa,orcwar,pacwre1,pasfly,purmar,rebnut,rebsap,redcro,spotow,towwar,daejun,vigswa,warvir,whcspa,westan,wooduc,yelwar",1,300286531,0.7999999999999545
gurobi,0.6,26,9282,"baleag,bewwre,bnhcow,brncre,batpig1,chbchi,chispa,amecro,dowwoo,eursta,evegro,houfin,hutvir,macwar,moudov,pinsis,purfin,purmar,rebsap,redcro,rethaw,sora,swathr,treswa,varthr,wooduc",1,425432342,0.7470000000000141
