solver,target,n_features,n_pu,species,n_solutions,cost,time
gurobi,0.6,41,9282,"amekes,amerob,annhum,baleag,bewwre,bkhgro,batpig1,bushti,chbchi,cedwax,chispa,coohaw,comrav,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houwre,hutvir,osprey,pinsis,pasfly,purfin,rebsap,rocpig,rethaw,rewbla,savspa,sora,spotow,stejay,swathr,daejun,yerwar,vigswa,whcspa,westan,wilsni1",1,478959894,0.8960000000006403
gurobi,0.7000000000000001,41,9282,"amegfi,amekes,annhum,baleag,belkin1,bnhcow,bkhgro,brebla,brncre,batpig1,cangoo,chispa,amecro,norfli,foxspa,gockin,haiwoo,houspa,macwar,norhar1,orcwar,olsfly,pasfly,purfin,purmar,rebnut,redcro,rocpig,rewbla,savspa,sora,stejay,swathr,towwar,treswa,daejun,yerwar,warvir,whcspa,westan,wilsni1",1,1163998180,1.3810000000012224
gurobi,0.8,41,9282,"amegfi,amekes,amerob,annhum,belkin1,batpig1,bushti,cedwax,coohaw,comrav,amecro,eucdov,eursta,evegro,foxspa,houfin,houspa,macwar,moudov,norhar1,osprey,pinsis,pilwoo,purmar,rebsap,redcro,rocpig,rufhum,savspa,stejay,swathr,treswa,daejun,yerwar,vigswa,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,1824620309,1.4099999999962165
gurobi,0.9,41,9282,"amekes,amerob,annhum,brdowl,belkin1,bnhcow,brncre,batpig1,bushti,chbchi,chispa,coohaw,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houwre,macwar,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,rebsap,redcro,rocpig,rethaw,rufhum,savspa,stejay,swathr,treswa,whcspa,westan,wilsni1,yelwar",1,3058122912,0.8190000000031432
gurobi,0.1,56,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,bewwre,brebla,batpig1,bushti,cangoo,chbchi,cedwax,chispa,amecro,eucdov,eursta,evegro,foxspa,gockin,haiwoo,houfin,houspa,houwre,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,rebnut,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sonspa,spotow,stejay,treswa,daejun,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,yelwar",1,7084257,0.8949999999967986
gurobi,0.2,56,9282,"amegfi,amekes,amerob,annhum,baleag,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,coohaw,comrav,amecro,dowwoo,eucdov,evegro,norfli,foxspa,gockin,haiwoo,houfin,houwre,hutvir,moudov,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,purmar,rebnut,rebsap,redcro,rocpig,rewbla,sora,sonspa,stejay,swathr,towwar,treswa,yerwar,vigswa,warvir,whcspa,westan,wilsni1,wlswar",1,28314121,1.1019999999989523
gurobi,0.30000000000000004,56,9282,"amegfi,amekes,annhum,baleag,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,gockin,houfin,houspa,houwre,hutvir,macwar,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purmar,rebnut,rebsap,redcro,rufhum,rewbla,savspa,sora,sonspa,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,whcspa,westan,wilsni1,wlswar",1,68576019,1.2669999999998254
gurobi,0.4,56,9282,"amekes,annhum,brdowl,bewwre,bnhcow,bkhgro,batpig1,bushti,cangoo,chbchi,chispa,coohaw,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,houfin,houspa,houwre,hutvir,macwar,norhar1,orcwar,pacwre1,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,sora,sonspa,spotow,stejay,swathr,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,154689420,1.2969999999986612
gurobi,0.5,56,9282,"amegfi,amekes,amerob,baleag,brdowl,belkin1,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,macwar,moudov,orcwar,osprey,pacwre1,pinsis,pilwoo,purmar,rebsap,redcro,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,treswa,daejun,yerwar,vigswa,warvir,westan,wilsni1,wlswar,wooduc,yelwar",1,273286022,1.2770000000018626
gurobi,0.6,56,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,chbchi,cedwax,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,hutvir,macwar,norhar1,orcwar,olsfly,osprey,pacwre1,pilwoo,pasfly,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,savspa,sonspa,spotow,towwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,yelwar",1,611646221,1.2340000000040163
gurobi,0.7000000000000001,56,9282,"amegfi,amekes,amerob,baleag,barswa,brdowl,bewwre,bnhcow,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,osprey,pacwre1,pinsis,pilwoo,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,swathr,towwar,daejun,varthr,vigswa,warvir,westan,wilsni1,wlswar",1,1123912951,1.1419999999998254
gurobi,0.8,56,9282,"amekes,amerob,annhum,baleag,barswa,brdowl,bewwre,bnhcow,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,comrav,amecro,dowwoo,eucdov,eursta,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,olsfly,osprey,pacwre1,pinsis,pasfly,rebnut,redcro,rocpig,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,wlswar,wooduc,yelwar",1,1912011530,1.1490000000048894
gurobi,0.9,56,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,amecro,dowwoo,eucdov,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,hutvir,macwar,norhar1,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,sora,stejay,towwar,treswa,westan,wilsni1,wlswar,wooduc,yelwar",1,3108193815,1.0720000000001164
gurobi,0.1,72,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,7065472,1.1259999999965657
gurobi,0.2,72,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,26841807,1.31600000000617
